City,ZipCode,State
San Antonio,57993,TX
San Francisco,32627,CA
San Jose,83302,CA
Syracuse,27621,NY
Jacksonville,55947,FL
Tallahassee,51603,FL
St. Petersburg,75734,FL
San Antonio,43147,TX
Austin,32682,TX
Syracuse,10857,NY
San Antonio,60452,TX
El Paso,39540,TX
Allentown,43828,PA
Buffalo,58892,NY
Austin,29333,TX
Tampa,89688,FL
San Francisco,44202,CA
Fresno,31002,CA
Rochester,10194,NY
El Paso,89088,TX
San Francisco,35848,CA
Allentown,75547,PA
Fort Worth,88882,TX
San Francisco,15029,CA
Mount Vernon,63602,NY
Rochester,16555,NY
St. Petersburg,97897,FL
Dallas,63297,TX
Pittsburgh,66308,PA
Utica,77606,NY
San Antonio,35205,TX
Miami,85069,FL
Yonkers,65686,NY
Miami,79793,FL
Miami,96501,FL
Philadelphia,33559,PA
New Rochelle,83972,NY
San Jose,83229,CA
Jacksonville,71930,FL
San Jose,86725,CA
Orlando,3695,FL
Mount Vernon,46617,NY
El Paso,16864,TX
Austin,41675,TX
Utica,46849,NY
Fresno,71548,CA
Yonkers,35624,NY
San Antonio,53909,TX
New Rochelle,29577,NY
Mount Vernon,7212,NY
New Rochelle,36622,NY
Tallahassee,26930,FL
San Diego,76990,CA
Tallahassee,18218,FL
Fort Worth,99073,TX
Jacksonville,33786,FL
Buffalo,1641,NY
Pittsburgh,71780,PA
New Rochelle,44020,NY
Syracuse,50633,NY
Pittsburgh,66950,PA
San Diego,74710,CA
Allentown,68474,PA
Albany,4549,NY
Utica,92876,NY
Austin,5609,TX
Fresno,6376,CA
Mount Vernon,85245,NY
Houston,48986,TX
Albany,18100,NY
Syracuse,25996,NY
Rochester,16177,NY
Yonkers,56489,NY
Rochester,20136,NY
Utica,40632,NY
St. Petersburg,93053,FL
Philadelphia,45128,PA
Orlando,57113,FL
Utica,94498,NY
Dallas,58364,TX
Pittsburgh,72759,PA
St. Petersburg,99784,FL
Austin,35002,TX
San Jose,53562,CA
Jacksonville,6650,FL
Syracuse,48539,NY
Mount Vernon,28125,NY
Allentown,85251,PA
Miami,24182,FL
Tallahassee,96106,FL
Mount Vernon,4064,NY
Jacksonville,83889,FL
New York,38143,NY
Mount Vernon,78982,NY
St. Petersburg,37586,FL
El Paso,77727,TX
Los Angeles,20209,CA
Fort Worth,80096,TX
San Diego,8124,CA
San Jose,20320,CA
Miami,1254,FL
Allentown,78434,PA
Jacksonville,29567,FL
Albany,64235,NY
Pittsburgh,69461,PA
St. Petersburg,78902,FL
Austin,74315,TX
Hialeah,83687,FL
Fort Worth,63424,TX
Jacksonville,50148,FL
Tampa,73965,FL
San Francisco,6009,CA
Allentown,85910,PA
New Rochelle,95631,NY
Orlando,9625,FL
Fresno,78578,CA
New York,23396,NY
San Diego,70535,CA
San Antonio,34597,TX
Houston,81867,TX
Los Angeles,60969,CA
New Rochelle,17231,NY
Orlando,70596,FL
Rochester,13358,NY
Rochester,65754,NY
Fresno,88780,CA
Los Angeles,72541,CA
Yonkers,71591,NY
St. Petersburg,6557,FL
Tampa,79905,FL
Albany,8143,NY
San Diego,73005,CA
El Paso,80776,TX
Los Angeles,23363,CA
Dallas,17224,TX
New York,63614,NY
Tallahassee,41362,FL
El Paso,31124,TX
Mount Vernon,45574,NY
Yonkers,19303,NY
New York,57843,NY
New York,47888,NY
Tampa,31033,FL
Rochester,77515,NY
Dallas,80176,TX
San Jose,93120,CA
Allentown,14366,PA
El Paso,14226,TX
New York,86015,NY
Hialeah,52916,FL
Los Angeles,55958,CA
Philadelphia,6876,PA
Tampa,94341,FL
Yonkers,72830,NY
San Antonio,29535,TX
Mount Vernon,5165,NY
Fresno,79322,CA
Tampa,77074,FL
Hialeah,4410,FL
Dallas,86701,TX
Albany,13273,NY
Houston,5970,TX
Austin,52158,TX
Tampa,91543,FL
Rochester,62618,NY
New Rochelle,60862,NY
El Paso,82262,TX
New York,22112,NY
Utica,31719,NY
Tampa,16394,FL
Albany,20731,NY
Pittsburgh,13385,PA
Tallahassee,79413,FL
Fort Worth,47023,TX
Fort Worth,29191,TX
Mount Vernon,77414,NY
Mount Vernon,64698,NY
Syracuse,62188,NY
Tampa,2023,FL
Albany,42952,NY
Albany,69333,NY
Miami,93813,FL
San Diego,23448,CA
San Jose,59914,CA
Allentown,10895,PA
St. Petersburg,78208,FL
Hialeah,50262,FL
Houston,17726,TX
Miami,55896,FL
New Rochelle,84295,NY
Los Angeles,1117,CA
Los Angeles,36888,CA
Dallas,19088,TX
Allentown,91676,PA
San Jose,69115,CA
Albany,864,NY
Houston,34710,TX
Mount Vernon,65844,NY
San Antonio,11230,TX
Tampa,35561,FL
Los Angeles,62834,CA
Yonkers,45324,NY
Fort Worth,3873,TX
Austin,96321,TX
New Rochelle,67390,NY
Houston,61689,TX
Allentown,77285,PA
Austin,66645,TX
Los Angeles,68530,CA
Tallahassee,97445,FL
Fort Worth,64159,TX
New Rochelle,7356,NY
New Rochelle,56105,NY
Yonkers,71175,NY
Dallas,21700,TX
Philadelphia,35138,PA
New York,34559,NY
Tallahassee,74049,FL
Austin,45299,TX
Los Angeles,47052,CA
Miami,72552,FL
New York,5242,NY
Dallas,69960,TX
Allentown,37429,PA
Yonkers,80986,NY
Allentown,13633,PA
Fresno,32700,CA
Utica,82957,NY
San Diego,3026,CA
Los Angeles,14806,CA
Houston,6510,TX
Pittsburgh,64741,PA
El Paso,31746,TX
Rochester,91955,NY
Dallas,94266,TX
Houston,40912,TX
New York,917,NY
Philadelphia,78748,PA
Buffalo,33728,NY
Los Angeles,16378,CA
Pittsburgh,66201,PA
San Francisco,2741,CA
San Diego,71454,CA
Syracuse,30139,NY
San Antonio,37857,TX
Austin,15163,TX
Rochester,95551,NY
San Jose,74628,CA
Tampa,53512,FL
Austin,1532,TX
San Francisco,12238,CA
New Rochelle,14148,NY
Hialeah,37067,FL
Allentown,32195,PA
St. Petersburg,63283,FL
Jacksonville,87455,FL
Yonkers,29264,NY
Dallas,16672,TX
Utica,52029,NY
Albany,99791,NY
Hialeah,63867,FL
Fresno,39224,CA
Tampa,5637,FL
Fresno,17070,CA
Syracuse,30366,NY
Syracuse,894,NY
Jacksonville,33859,FL
Fresno,9901,CA
Philadelphia,32623,PA
Austin,84161,TX
Albany,98913,NY
Buffalo,27041,NY
Fort Worth,99439,TX
St. Petersburg,56466,FL
Philadelphia,13272,PA
Utica,84034,NY
Syracuse,72618,NY
Albany,49950,NY
San Antonio,52067,TX
Mount Vernon,66943,NY
Rochester,60839,NY
Tallahassee,92696,FL
Los Angeles,68627,CA
Buffalo,76766,NY
Fresno,31487,CA
San Francisco,20797,CA
Buffalo,14442,NY
New York,59773,NY
Orlando,80833,FL
San Francisco,57257,CA
Orlando,99670,FL
Tallahassee,81514,FL
Syracuse,24660,NY
Utica,69962,NY
Pittsburgh,89269,PA
Austin,88158,TX
Austin,43328,TX
Jacksonville,61396,FL
Tampa,55954,FL
New York,78613,NY
Orlando,77024,FL
New Rochelle,69695,NY
New York,57666,NY
Utica,48147,NY
Miami,95697,FL
St. Petersburg,16254,FL
Syracuse,25038,NY
Allentown,66695,PA
Austin,33071,TX
Yonkers,90895,NY
Los Angeles,14732,CA
Philadelphia,92739,PA
Hialeah,9594,FL
Tallahassee,73301,FL
Allentown,46624,PA
Yonkers,55504,NY
Tampa,23346,FL
Orlando,76277,FL
New York,59465,NY
Pittsburgh,11363,PA
Orlando,37354,FL
Orlando,99645,FL
Tallahassee,51053,FL
New York,98871,NY
Austin,97002,TX
Syracuse,45752,NY
Houston,79091,TX
Mount Vernon,59145,NY
St. Petersburg,85035,FL
Buffalo,66017,NY
Allentown,72156,PA
New York,19586,NY
Orlando,71112,FL
Tallahassee,34904,FL
Los Angeles,45567,CA
San Antonio,60035,TX
Yonkers,69005,NY
Austin,86493,TX
New Rochelle,39335,NY
Orlando,1757,FL
Orlando,45711,FL
St. Petersburg,1482,FL
San Francisco,76142,CA
Albany,50028,NY
Houston,71760,TX
Albany,46565,NY
Allentown,54496,PA
San Jose,24175,CA
Buffalo,47919,NY
Dallas,83777,TX
Rochester,6681,NY
Syracuse,71291,NY
San Antonio,96119,TX
San Francisco,68478,CA
Fresno,87151,CA
Miami,84720,FL
St. Petersburg,65661,FL
Allentown,17307,PA
Rochester,80631,NY
San Diego,85884,CA
Los Angeles,3746,CA
New Rochelle,22032,NY
Utica,64428,NY
New York,11513,NY
Syracuse,72731,NY
Pittsburgh,42003,PA
New Rochelle,77272,NY
Syracuse,42702,NY
St. Petersburg,52716,FL
Syracuse,15318,NY
Philadelphia,83163,PA
New York,1268,NY
Fort Worth,97030,TX
Albany,29402,NY
San Antonio,82391,TX
Yonkers,98946,NY
New York,75712,NY
Fort Worth,29445,TX
Syracuse,52289,NY
Allentown,56832,PA
San Jose,78255,CA
San Antonio,48418,TX
Syracuse,11958,NY
Fresno,72261,CA
Austin,71642,TX
Houston,83101,TX
Fort Worth,52542,TX
El Paso,94951,TX
Tampa,50007,FL
Houston,91502,TX
Syracuse,46384,NY
Los Angeles,13466,CA
Los Angeles,62430,CA
Orlando,91205,FL
Miami,70077,FL
Jacksonville,24794,FL
Jacksonville,62159,FL
San Jose,27510,CA
Tallahassee,8637,FL
Tallahassee,5604,FL
San Diego,65926,CA
Tampa,37733,FL
Austin,4302,TX
Fort Worth,84820,TX
Philadelphia,9117,PA
Los Angeles,2384,CA
San Jose,91563,CA
Hialeah,77525,FL
Los Angeles,3762,CA
New Rochelle,37569,NY
Dallas,63563,TX
New Rochelle,16752,NY
Albany,35083,NY
Fort Worth,86452,TX
St. Petersburg,35339,FL
Utica,13348,NY
San Diego,28680,CA
Miami,47647,FL
Rochester,35951,NY
Philadelphia,5519,PA
Hialeah,96028,FL
San Diego,1362,CA
St. Petersburg,54793,FL
New York,44771,NY
Tallahassee,21304,FL
Jacksonville,57760,FL
Albany,27036,NY
San Diego,27147,CA
San Jose,96515,CA
Yonkers,70361,NY
Mount Vernon,20438,NY
Pittsburgh,36692,PA
Yonkers,83550,NY
Allentown,30773,PA
Tampa,50808,FL
San Diego,66041,CA
Fort Worth,16876,TX
Yonkers,88922,NY
Houston,72830,TX
Buffalo,92370,NY
St. Petersburg,40266,FL
Mount Vernon,56757,NY
Albany,63023,NY
Hialeah,37067,FL
Syracuse,48416,NY
Mount Vernon,75873,NY
San Diego,98814,CA
Miami,51417,FL
Pittsburgh,18164,PA
Philadelphia,51403,PA
San Jose,84879,CA
San Diego,24408,CA
Tallahassee,83220,FL
Rochester,62194,NY
Hialeah,96478,FL
Yonkers,12102,NY
Allentown,87699,PA
San Jose,95016,CA
Hialeah,69477,FL
St. Petersburg,94580,FL
New York,37462,NY
Syracuse,9611,NY
Jacksonville,58230,FL
Mount Vernon,8963,NY
Tampa,93789,FL
Los Angeles,83647,CA
Austin,24134,TX
Los Angeles,30205,CA
Pittsburgh,88927,PA
Fresno,49040,CA
Houston,35788,TX
San Diego,67065,CA
Austin,94029,TX
El Paso,97091,TX
Mount Vernon,30080,NY
St. Petersburg,49813,FL
Tallahassee,75587,FL
Los Angeles,7107,CA
Austin,36890,TX
Tampa,73211,FL
Fort Worth,25105,TX
San Antonio,52620,TX
New Rochelle,2980,NY
Hialeah,88806,FL
St. Petersburg,5261,FL
Los Angeles,84275,CA
Yonkers,7417,NY
Rochester,9254,NY
Mount Vernon,67266,NY
San Diego,35745,CA
Albany,90259,NY
Philadelphia,7861,PA
El Paso,72510,TX
Allentown,29902,PA
Hialeah,21165,FL
Houston,97849,TX
New York,76742,NY
Fresno,89852,CA
St. Petersburg,14647,FL
Fort Worth,83435,TX
Utica,30021,NY
Allentown,29952,PA
Buffalo,17162,NY
San Diego,88433,CA
Tallahassee,85972,FL
Tallahassee,1726,FL
San Jose,79898,CA
Pittsburgh,81232,PA
Buffalo,92571,NY
Mount Vernon,79192,NY
Tallahassee,68407,FL
San Antonio,88293,TX
Dallas,98327,TX
Hialeah,94881,FL
Yonkers,85756,NY
Houston,88112,TX
New Rochelle,22554,NY
Orlando,50152,FL
St. Petersburg,84514,FL
Fort Worth,39994,TX
Tallahassee,56299,FL
Rochester,62002,NY
Miami,70727,FL
San Antonio,60757,TX
Miami,39207,FL
Buffalo,13395,NY
Dallas,22547,TX
Syracuse,91380,NY
Pittsburgh,57186,PA
Austin,28085,TX
Miami,9980,FL
San Francisco,53647,CA
Utica,98831,NY
Pittsburgh,68590,PA
Hialeah,82168,FL
Orlando,11397,FL
Hialeah,72883,FL
El Paso,61096,TX
San Diego,59365,CA
El Paso,13332,TX
Orlando,4567,FL
El Paso,62563,TX
St. Petersburg,7152,FL
Tallahassee,86436,FL
Orlando,4635,FL
Tampa,14395,FL
Rochester,88972,NY
New Rochelle,4078,NY
Orlando,82882,FL
Tallahassee,31126,FL
Utica,31474,NY
Pittsburgh,60905,PA
Dallas,8015,TX
Miami,50171,FL
Hialeah,11604,FL
Fort Worth,97677,TX
Miami,60070,FL
San Francisco,30053,CA
San Antonio,27076,TX
New York,7976,NY
Hialeah,23106,FL
Miami,55329,FL
Dallas,18909,TX
Utica,65122,NY
Mount Vernon,30699,NY
Tampa,47441,FL
Tallahassee,60192,FL
St. Petersburg,87545,FL
Buffalo,15075,NY
Jacksonville,4093,FL
Albany,11916,NY
Fort Worth,41400,TX
Yonkers,70798,NY
New Rochelle,65270,NY
Tallahassee,49742,FL
Jacksonville,47970,FL
Philadelphia,64273,PA
Allentown,39907,PA
San Francisco,88419,CA
Tallahassee,93560,FL
Buffalo,48557,NY
Fort Worth,13723,TX
El Paso,49998,TX
Syracuse,93906,NY
Tallahassee,41523,FL
Philadelphia,24235,PA
New Rochelle,72505,NY
Albany,81351,NY
Utica,16881,NY
Allentown,75408,PA
Fort Worth,15250,TX
Fresno,8860,CA
Hialeah,40566,FL
Fort Worth,44779,TX
Jacksonville,60148,FL
Syracuse,85090,NY
Albany,20516,NY
Dallas,17713,TX
Orlando,22035,FL
Dallas,91893,TX
Mount Vernon,42675,NY
Hialeah,63817,FL
Miami,79718,FL
Albany,51669,NY
New York,57922,NY
Orlando,49973,FL
Albany,54241,NY
San Jose,28842,CA
Allentown,59896,PA
Albany,9721,NY
Mount Vernon,40003,NY
Tallahassee,58318,FL
Pittsburgh,77252,PA
Orlando,25586,FL
St. Petersburg,17002,FL
Fort Worth,7961,TX
San Diego,17060,CA
Yonkers,86902,NY
San Francisco,24264,CA
Tallahassee,99940,FL
St. Petersburg,76716,FL
Houston,2898,TX
Orlando,90500,FL
Buffalo,97668,NY
Fresno,3966,CA
Houston,30708,TX
Fresno,43866,CA
San Jose,24468,CA
San Francisco,48998,CA
Philadelphia,12646,PA
Orlando,93922,FL
Pittsburgh,8648,PA
New Rochelle,28773,NY
Yonkers,69306,NY
Yonkers,59246,NY
Pittsburgh,76070,PA
Philadelphia,5600,PA
Hialeah,22693,FL
Orlando,12150,FL
Rochester,1712,NY
Austin,5022,TX
Tallahassee,16358,FL
El Paso,81238,TX
Buffalo,74091,NY
Houston,72780,TX
Orlando,17644,FL
Miami,55801,FL
San Antonio,10758,TX
Los Angeles,13957,CA
Albany,42239,NY
Los Angeles,46619,CA
Tallahassee,81763,FL
Albany,77056,NY
New York,68518,NY
Pittsburgh,32532,PA
Philadelphia,34013,PA
Orlando,32481,FL
San Diego,37865,CA
Allentown,15853,PA
San Diego,29224,CA
Rochester,84177,NY
Miami,8664,FL
San Francisco,50162,CA
New York,40455,NY
Allentown,24254,PA
Pittsburgh,50252,PA
San Francisco,41912,CA
Orlando,15112,FL
Jacksonville,37624,FL
San Antonio,49248,TX
Mount Vernon,41967,NY
El Paso,39405,TX
El Paso,72381,TX
Fort Worth,73405,TX
Dallas,12786,TX
St. Petersburg,60352,FL
St. Petersburg,32788,FL
Tampa,40904,FL
St. Petersburg,81796,FL
Jacksonville,35756,FL
Pittsburgh,51316,PA
San Jose,12409,CA
New York,7481,NY
Los Angeles,81940,CA
San Diego,41531,CA
San Antonio,9186,TX
Los Angeles,45349,CA
Houston,47539,TX
Albany,83884,NY
Albany,10138,NY
New York,63165,NY
El Paso,11916,TX
Hialeah,72427,FL
Miami,72663,FL
New Rochelle,78202,NY
Orlando,50354,FL
San Antonio,68884,TX
Austin,99326,TX
Yonkers,52981,NY
Jacksonville,21520,FL
Los Angeles,47396,CA
Hialeah,70763,FL
Fresno,14526,CA
Tampa,75358,FL
Dallas,81346,TX
Orlando,64503,FL
Pittsburgh,63348,PA
Allentown,31923,PA
Hialeah,64161,FL
San Antonio,94180,TX
Utica,49693,NY
Fresno,22768,CA
St. Petersburg,78271,FL
Orlando,67866,FL
Syracuse,11928,NY
Tallahassee,45832,FL
New Rochelle,61439,NY
Jacksonville,20339,FL
Orlando,18533,FL
Tallahassee,89625,FL
Tampa,99246,FL
Fort Worth,32917,TX
Philadelphia,63053,PA
Orlando,87069,FL
Allentown,77588,PA
Orlando,4329,FL
Los Angeles,36821,CA
Hialeah,97341,FL
New York,755,NY
Tallahassee,40784,FL
Buffalo,73851,NY
Orlando,78672,FL
Syracuse,74973,NY
New Rochelle,70374,NY
Los Angeles,29134,CA
Syracuse,34793,NY
Tampa,57394,FL
San Diego,42804,CA
Dallas,97320,TX
Allentown,5604,PA
Yonkers,70733,NY
Syracuse,69609,NY
El Paso,29783,TX
San Antonio,66885,TX
Syracuse,43502,NY
San Antonio,81364,TX
El Paso,47564,TX
Fort Worth,81956,TX
Fresno,73705,CA
Fort Worth,98827,TX
Yonkers,42158,NY
Rochester,55069,NY
New York,49409,NY
Tampa,45152,FL
Dallas,94871,TX
San Jose,90637,CA
St. Petersburg,3979,FL
Mount Vernon,76361,NY
Tallahassee,56979,FL
Buffalo,90713,NY
Miami,17455,FL
Austin,61677,TX
Fresno,65060,CA
Dallas,41926,TX
St. Petersburg,18382,FL
New York,6192,NY
Hialeah,98592,FL
Fresno,67777,CA
Syracuse,67720,NY
San Jose,43604,CA
El Paso,50411,TX
Pittsburgh,36530,PA
New York,34947,NY
Dallas,16165,TX
St. Petersburg,54107,FL
San Diego,98841,CA
Philadelphia,20740,PA
St. Petersburg,40821,FL
Orlando,83925,FL
Mount Vernon,33539,NY
El Paso,14558,TX
Utica,77930,NY
Fort Worth,16217,TX
San Diego,23483,CA
San Francisco,40088,CA
Los Angeles,94520,CA
Philadelphia,4925,PA
Dallas,14926,TX
Jacksonville,71582,FL
Fresno,93354,CA
Austin,69127,TX
Fresno,54540,CA
Philadelphia,29710,PA
Houston,68727,TX
San Jose,13638,CA
Fort Worth,21102,TX
El Paso,92595,TX
Syracuse,34712,NY
San Diego,92843,CA
Allentown,47283,PA
Yonkers,12966,NY
Albany,40287,NY
Philadelphia,57045,PA
Dallas,54676,TX
Los Angeles,54333,CA
Austin,67365,TX
Mount Vernon,26941,NY
Mount Vernon,20412,NY
Jacksonville,89360,FL
Rochester,82279,NY
Pittsburgh,14368,PA
Orlando,15406,FL
Albany,51850,NY
Jacksonville,35106,FL
New Rochelle,50098,NY
Miami,83920,FL
Buffalo,24731,NY
Tallahassee,22921,FL
Jacksonville,4233,FL
Allentown,12933,PA
Fort Worth,19506,TX
Miami,51414,FL
Albany,89353,NY
Albany,91549,NY
San Jose,42686,CA
Hialeah,94083,FL
Houston,32962,TX
Orlando,70851,FL
New York,77719,NY
Mount Vernon,28996,NY
Pittsburgh,23868,PA
Tampa,49419,FL
Pittsburgh,3400,PA
Yonkers,75301,NY
Philadelphia,3999,PA
Jacksonville,75469,FL
Tampa,90652,FL
Mount Vernon,97882,NY
El Paso,29389,TX
Tampa,28677,FL
Austin,68324,TX
Syracuse,16337,NY
Tampa,88656,FL
Yonkers,89314,NY
San Jose,35914,CA
Philadelphia,68763,PA
El Paso,62370,TX
Albany,85047,NY
Albany,42794,NY
Philadelphia,60283,PA
Jacksonville,13136,FL
Dallas,1642,TX
Utica,49043,NY
St. Petersburg,18327,FL
Austin,26825,TX
St. Petersburg,73684,FL
New Rochelle,53139,NY
San Francisco,66638,CA
Tallahassee,95413,FL
New York,34435,NY
St. Petersburg,36328,FL
Albany,55933,NY
Orlando,43118,FL
Buffalo,2110,NY
Tallahassee,2668,FL
New Rochelle,33980,NY
Buffalo,68466,NY
Tampa,35622,FL
San Francisco,88319,CA
Fort Worth,9333,TX
Syracuse,53115,NY
Fresno,92389,CA
Jacksonville,22885,FL
Jacksonville,30915,FL
Pittsburgh,99567,PA
St. Petersburg,53272,FL
Syracuse,26918,NY
Albany,42831,NY
Philadelphia,35771,PA
El Paso,55001,TX
San Antonio,8846,TX
Houston,18697,TX
San Antonio,47786,TX
San Francisco,66297,CA
New Rochelle,32260,NY
Tampa,81706,FL
Orlando,85807,FL
Houston,39859,TX
Fresno,56682,CA
Allentown,44541,PA
Austin,25410,TX
San Antonio,55107,TX
Fresno,41254,CA
Syracuse,32588,NY
Miami,31940,FL
Rochester,64452,NY
Austin,72223,TX
Houston,28057,TX
Utica,88570,NY
San Diego,6674,CA
Miami,41835,FL
Fresno,55532,CA
Fort Worth,6720,TX
Utica,30170,NY
Pittsburgh,53723,PA
El Paso,6341,TX
Philadelphia,47255,PA
San Antonio,77478,TX
Tallahassee,96153,FL
Houston,16745,TX
El Paso,78058,TX
Hialeah,63416,FL
Jacksonville,48198,FL
San Diego,87559,CA
Miami,18429,FL
Philadelphia,47969,PA
Buffalo,7382,NY
Fresno,71334,CA
Houston,91615,TX
Pittsburgh,81992,PA
Syracuse,95826,NY
Albany,30482,NY
San Jose,44680,CA
Miami,52755,FL
St. Petersburg,22529,FL
Utica,33027,NY
Fort Worth,89138,TX
Pittsburgh,87981,PA
Dallas,60786,TX
Orlando,38969,FL
Rochester,78774,NY
Pittsburgh,96821,PA
Yonkers,40970,NY
El Paso,49558,TX
Los Angeles,68173,CA
Syracuse,28926,NY
St. Petersburg,1731,FL
Austin,29519,TX
San Diego,31035,CA
El Paso,49395,TX
New York,71390,NY
Dallas,76774,TX
Austin,69303,TX
Austin,2646,TX
Hialeah,16600,FL
Tampa,14812,FL
Allentown,1112,PA
Hialeah,6831,FL
New York,87738,NY
Albany,52333,NY
San Antonio,29973,TX
New Rochelle,2203,NY
Fort Worth,68498,TX
Austin,40428,TX
Fort Worth,52125,TX
Allentown,71624,PA
Orlando,78845,FL
San Diego,83972,CA
Tallahassee,74570,FL
St. Petersburg,71095,FL
El Paso,64525,TX
Albany,41199,NY
Philadelphia,49173,PA
El Paso,30141,TX
San Diego,27905,CA
Utica,73565,NY
San Francisco,76527,CA
Philadelphia,43464,PA
Albany,23918,NY
San Francisco,64748,CA
San Jose,41503,CA
New Rochelle,15491,NY
Albany,53403,NY
Rochester,56312,NY
New Rochelle,52293,NY
Tallahassee,20980,FL
San Francisco,82008,CA
Buffalo,80591,NY
Orlando,9759,FL
San Jose,25679,CA
St. Petersburg,78625,FL
Buffalo,94395,NY
Buffalo,78544,NY
Jacksonville,12936,FL
San Antonio,68492,TX
Philadelphia,49148,PA
Fresno,41529,CA
Austin,75802,TX
Syracuse,71352,NY
San Francisco,9913,CA
Albany,70851,NY
Orlando,2490,FL
Pittsburgh,69525,PA
Austin,61658,TX
Hialeah,91882,FL
Albany,45672,NY
Dallas,57633,TX
Fresno,9054,CA
